text,frequency
¿¹»µ¿ä,1
±ò²ûÇØ¿ä,1
¿ì¸®°¡ ¸¸µé¾î¼­~,1
³»¸¾,1
¿¹»Ç,11
¿¹»Ç,11
¿¹»Ç,11
¿¹»Ç,11
¿¹»Ç,11
¿¹»Ç,11
¿¹»Ç,11
¿¹»Ç,11
¿¹»Ç,11
¿¹»Ç,11
¿¹»Ç,11
